Hole Depth,Weight on Bit,Rate Of Penetration
6771,7,38.3
6772,7.2,38.29
6773,7.3,38.42
6774,6.3,38.32
6775,7,38.31
6776,7,38.28
6777,6.7,38.38
6778,11.1,44.06
6779,11,44.16
6780,9.8,44
6781,7.8,43.88
6782,8.3,44.17
6783,8.8,44.22
6784,8.8,44.04
6785,9,43.78
6786,9.1,43.29
6787,8.8,43.91
6788,8.8,44.05
6789,8.9,44.1
6790,8.4,44.32
6791,7.8,44.22
6792,7.8,43.9
6793,7.9,44.21
6794,7.8,43.93
6795,9.2,44.19
6796,9.2,44.19
6797,8.9,44.11
6798,8.7,44.13
6799,8.8,43.75
6800,8.8,44.11
6801,8.8,44.06
6802,8.8,43.55
6803,8.4,43.62
6804,8.9,43.91
6805,8.7,43.98
6806,8.8,44.1
6807,8.7,43.97
6808,8.7,44.05
6809,11,43.96
6810,11.2,44
6811,11,44.01
6812,8.5,43.8
6813,9,43.98
6814,9,44.05
6815,8.6,44.08
6816,9,43.82
6817,8.9,44.17
6818,8.1,36.14
6819,9.7,43.75
6820,10.2,50.17
6821,10.2,49.71
6822,10.8,64.11
6823,13.9,77.66
6824,15.9,80.39
6825,16.5,80.77
6826,17.3,80.41
6827,17.5,80.47
6828,17.9,80.48
6829,17.8,80.65
6830,17.9,80.55
6831,17.5,80.67
6832,17.3,80.45
6833,17.5,80.13
6834,17.6,80.39
6835,17.6,80.23
6836,17.4,80.47
6837,17.6,80.35
6838,17.6,80.5
6839,17.3,80.59
6840,17.4,80.77
6841,21.3,80.93
6842,21.8,80.53
6843,21.8,80.67
6844,17.9,80.15
6845,18,80.74
6846,17.3,80.73
6847,17.5,80.65
6848,17.4,80.57
6849,17.4,80.57
6850,17.8,80.52
6851,17.9,80.69
6852,18,80.3
6853,18.1,80.63
6854,17.8,80.74
6855,17.9,80.93
6856,16.4,75.88
6857,11.9,49.22
6858,11.2,49.34
6859,11.1,49.42
6860,11,49.51
6861,10.7,49.29
6862,10.1,49.4
6863,11.1,49.64
6864,11.9,49.32
6865,13,49.6
6866,11.1,53.22
6867,12.1,38.21
6868,12.1,38.3
6869,13.2,38.29
6870,13,38.47
6871,15.4,38.26
6872,15.2,38.32
6873,15.2,38.3
6874,12.8,38.33
6875,13.3,38.34
6876,14.2,38.34
6877,14.3,38.4
6878,14.4,38.41
6879,14.3,38.4
6880,14.1,38.44
6881,14.8,47.89
6882,15.3,48.6
6883,13.9,48.84
6884,14.6,48.76
6885,15.3,48.84
6886,15.6,48.52
6887,15.3,48.79
6888,16.5,48.63
6889,15.7,48.78
6890,15.3,48.79
6891,15.2,48.63
6892,15.2,48.56
6893,15.5,48.7
6894,15,48.72
6895,14.8,48.54
6896,13.6,36.24
6897,12.4,30.15
6898,12.5,29.69
6899,11.6,29.87
6900,11.3,29.78
6901,14.1,49.32
6902,15,49.73
6903,16,48.93
6904,14.6,29.7
6905,14.1,29.71
6906,12.4,29.66
6907,14,49.12
6908,14.9,49.85
6909,15,49.72
6910,15.3,49.73
6911,15.7,49.74
6912,15.2,49.75
6913,15.5,49.35
6914,12.2,29.97
6915,15.7,29.84
6916,19.7,29.58
6917,14.3,29.61
6918,12.4,29.86
6919,12.7,29.88
6920,13,29.8
6921,13.8,36.68
6922,15.2,49.6
6923,15.6,49.72
6924,15.2,49.91
6925,16,49.73
6926,15.3,49.8
6927,15.5,49.56
6928,15.5,49.55
6929,15.5,49.84
6930,17,64.65
6931,16.9,64.82
6932,16.4,64.48
6933,19.9,64.78
6934,21.9,64.79
6935,22,64.96
6936,22.8,65.74
6937,18.9,65.57
6938,19,65.67
6939,19.7,65.98
6940,19.2,66.02
6941,19,65.92
6942,18.8,65.97
6943,18.7,65.84
6944,18.7,66.01
6945,18.5,65.63
6946,18.5,65.63
6947,18.7,65.78
6948,13.3,29.15
6949,13.4,28.71
6950,13.6,28.89
6951,10.8,28.89
6952,15.2,64.68
6953,17.9,65.4
6954,18.4,65.82
6955,18.8,65.93
6956,19.8,66.11
6957,19.9,65.91
6958,20.6,65.68
6959,11,39.77
6960,14.2,63.54
6961,10.8,33.89
6962,9.4,33.32
6963,8.9,33.32
6964,9,33.43
6965,14.3,61.32
6966,16.1,63.8
6967,15,63.96
6968,12.1,63.99
6969,11.4,63.64
6970,12.2,63.62
6971,15.4,63.91
6972,15.8,63.76
6973,16.1,63.92
6974,16,63.7
6975,15.7,63.93
6976,15.6,64.19
6977,15.8,63.91
6978,15.5,63.76
6979,12.9,40.01
6980,12.4,38.31
6981,12.1,38.24
6982,10.5,38.25
6983,10.6,38.24
6984,10.7,38.42
6985,12.3,38.2
6986,13.9,38.13
6987,13.9,38.24
6988,14.6,62.9
6989,16.4,63.79
6990,17.9,64.14
6991,17.1,64.41
6992,19,64.43
6993,20,64.71
6994,19.7,64.88
6995,18.5,64.91
6996,19,64.86
6997,22,65.04
6998,24.3,64.68
6999,24.3,64.99
7000,17.7,64.83
7001,18.5,64.52
7002,18.8,64.76
7003,18.5,64.61
7004,18.3,64.7
7005,18.2,64.53
7006,17.4,64.91
7007,19.3,64.73
7008,23.1,64.95
7009,23.6,65.06
7010,16.4,34.11
7011,15.1,34.2
7012,13.8,34.12
7013,12.8,34.08
7014,13.6,34.22
7015,14.2,34.26
7016,13.9,34.21
7017,13.2,34.08
7018,13.2,34.05
7019,13.1,34.13
7020,13.2,34.23
7021,13,34.22
7022,15.5,69.22
7023,16.4,69.58
7024,18.4,69.7
7025,17.8,69.47
7026,16.7,69.48
7027,18.5,69.45
7028,18.2,69
7029,19.3,69.3
7030,17.9,49.14
7031,16.4,44.54
7032,16.2,44.76
7033,15.9,44.62
7034,15.8,44.88
7035,16.4,59.12
7036,18.9,70.08
7037,19.3,69.93
7038,19.7,70.15
7039,19.3,70.43
7040,18.6,70.41
7041,18.2,70.18
7042,19.2,70.06
7043,19.6,70.27
7044,20.2,70.36
7045,20.7,70.36
7046,21,70.4
7047,20.5,70.43
7048,19.4,70.36
7049,19.5,70.32
7050,20.8,70.51
7051,22.2,70.23
7052,22.9,70.36
7053,23.7,70.48
7054,15.5,51.78
7055,18.2,68.87
7056,12.9,38.17
7057,10.8,38.27
7058,11.1,38.39
7059,13.5,38.31
7060,13.5,38.26
7061,14.7,38.46
7062,14.2,40.14
7063,14.4,67.83
7064,15.8,67.75
7065,17.6,67.35
7066,17.5,68
7067,16.8,67.87
7068,15.5,56.19
7069,17.2,69.38
7070,18.2,69.5
7071,18.3,69.54
7072,18.5,69.37
7073,17.5,69.09
7074,17,69.19
7075,17.2,69.48
7076,17,69.51
7077,16.7,69.45
7078,16.2,69.25
7079,16,69.37
7080,13.1,27.98
7081,11.7,38.43
7082,12.8,38.34
7083,14.1,38.26
7084,14.3,38.27
7085,14.2,38.29
7086,13.7,38.27
7087,14,38.65
7088,13.7,38.62
7089,13.7,38.56
7090,15.7,65.19
7091,16.8,69.79
7092,20.7,69.23
7093,21.7,69.4
7094,22.4,69.42
7095,19.7,69.31
7096,19.5,69.44
7097,19.2,69.37
7098,19,69.39
7099,18.7,69.56
7100,18,69.74
7101,17.3,69.49
7102,16.9,69.63
7103,19.9,69.44
7104,20.1,69.63
7105,19.7,69.57
7106,20.1,69.39
7107,20.2,69.55
7108,20.1,69.6
7109,20,69.64
7110,20.1,69.58
7111,20,69.64
7112,20.4,69.4
7113,21.3,69.63
7114,20.7,69.61
7115,20.2,69.48
7116,19.4,69.68
7117,19.7,69.5
7118,20.6,69.44
7119,21.1,69.57
7120,21.5,69.56
7121,21.9,69.54
7122,22.1,69.55
7123,21.8,69.6
7124,23.5,69.16
7125,22.7,69.49
7126,22.3,69.99
7127,21.3,70.28
7128,21.8,70.27
7129,22.3,70.2
7130,22.7,70.26
7131,23.1,70.42
7132,22.8,70.05
7133,23,70.17
7134,22.1,70.35
7135,21.6,70.29
7136,21.4,70.36
7137,21.3,70.48
7138,19.9,70.4
7139,21.2,70.08
7140,21.6,70.18
7141,22.1,70.19
7142,22.1,70.06
7143,22.4,70.15
7144,22.2,70.26
7145,22.1,70.24
7146,22.5,70.13
7147,23.1,69.98
7148,23.9,70.29
7149,15.8,65.67
7150,15.6,65.43
7151,13.3,38.41
7152,12.8,38.14
7153,13.6,38.38
7154,13.5,42.24
7155,20.4,71.81
7156,20.7,72.55
7157,20.4,72.79
7158,19.1,72.3
7159,19.8,72.52
7160,20.9,72.62
7161,21.2,72.67
7162,20.4,72.75
7163,19.4,72.79
7164,19,72.88
7165,19.8,72.89
7166,17.9,72.17
7167,19.2,72.54
7168,19.1,72.88
7169,19.4,72.94
7170,19.7,72.41
7171,20.2,72.74
7172,20.5,72.63
7173,20.3,72.96
7174,20.3,72.48
7175,21.1,72.45
7176,21,72.8
7177,21,72.73
7178,15.2,38.72
7179,14.7,38.28
7180,14.2,37.67
7181,14.2,38.37
7182,16.8,65.82
7183,19.5,72.42
7184,19.8,72.59
7185,19.5,72.27
7186,23.8,72.5
7187,25.4,72.29
7188,26.2,72.56
7189,20.5,72.56
7190,20.7,72.5
7191,22,72.58
7192,22.1,72.66
7193,21.8,72.38
7194,21.2,72.86
7195,21.4,72.79
7196,22.6,72.68
7197,27,72.43
7198,27.8,72.64
7199,22.6,72.34
7200,21.1,72.33
7201,22.7,72.46
7202,23,72.43
7203,22.8,72.45
7204,23.6,72.4
7205,23.9,72.51
7206,22.9,72.78
7207,23.4,72.58
7208,23.2,72.18
7209,23.8,72.46
7210,17.1,38.89
7211,16.9,38.51
7212,17.2,38.44
7213,17.5,38.42
7214,16.2,38.91
7215,21.5,72.34
7216,23.7,72.72
7217,23.9,72.52
7218,26,72.65
7219,26.4,72.44
7220,27,72.38
7221,24.1,73.05
7222,24.3,72.68
7223,24.7,72.8
7224,26,73.32
7225,26.3,72.89
7226,26.2,72.48
7227,26,72.45
7228,25.7,73.2
7229,25.7,72.95
7230,26.4,72.73
7231,26.5,72.89
7232,24.5,72.96
7233,23.1,73
7234,22.5,54.97
7235,22.9,54.97
7236,21.7,55.01
7237,22,55.17
7238,22,55.2
7239,21.6,55.08
7240,21.8,55.02
7241,21.8,55.18
7242,21.4,55.04
7243,11.1,29.83
7244,14.9,53.57
7245,14.7,53.56
7246,13.9,62.68
7247,13.6,64.04
7248,13.5,63.61
7249,14.5,64.02
7250,18.3,64
7251,24,63.6
7252,18.4,64.34
7253,13.8,63.74
7254,13.8,64.11
7255,14.7,67.28
7256,16,74.24
7257,16.6,74.35
7258,16.3,74.38
7259,14.7,74.68
7260,15.3,74.82
7261,16,74.49
7262,16.8,74.28
7263,17.6,74.46
7264,18.1,74.61
7265,21.5,74.46
7266,21.8,74.62
7267,17.6,74.83
7268,16.5,74.51
7269,16.1,74.56
7270,16.1,74.63
7271,17.4,74.4
7272,16.1,74.56
7273,14,74.72
7274,14.6,74.51
7275,13.6,73.21
7276,10.5,74.9
7277,13,75.49
7278,20.3,75.48
7279,30.2,75.49
7280,33.1,75.51
7281,36.2,75.51
7282,37.4,74.37
7283,35.6,75.49
7284,34.5,75.49
7285,37.5,75.49
7286,38.1,75.48
7287,38.4,75.46
7288,38.5,75.59
7289,31.9,75.48
7290,29.7,75.49
7291,34.6,75.47
7292,35.1,75.47
7293,30.5,75.49
7294,32.3,75.48
7295,32.6,75.48
7296,30.1,75.23
7297,29.3,75.47
7298,33.1,75.52
7299,32.4,75.54
7300,33,75.42
7301,31.8,75.49
7302,35.3,75.23
7303,34.4,75.24
7304,32.8,75.49
7305,32.4,75.47
7306,35.5,75.18
7307,38,74.59
7308,38.1,75.3
7309,38.2,75.31
7310,32.1,75.56
7311,25.1,75.51
7312,22.7,75.48
7313,26.7,75.48
7314,27.9,75.49
7315,24.4,38.77
7316,16.6,39.25
7317,16.7,39.25
7318,18,39.16
7319,18.7,39.2
7320,22.9,74.87
7321,26.6,75.47
7322,27.2,75.49
7323,26.3,75.49
7324,26.6,75.49
7325,28.2,75.49
7326,29.8,75.47
7327,30.1,74.99
7328,31.1,75.47
7329,32.6,75.49
7330,32.1,75.49
7331,32,75.49
7332,31.9,75.49
7333,31.3,75.49
7334,30.3,75.49
7335,33.1,75.49
7336,37.3,75.51
7337,36.3,75.46
7338,15.2,22.14
7339,22,74.15
7340,23.9,74.12
7341,23.8,74.24
7342,23.8,74.57
7343,23.1,74.49
7344,22.4,74.43
7345,24.8,74.37
7346,25.1,74.48
7347,22.2,63.88
7348,19,64.43
7349,18.5,63.69
7350,19.1,64
7351,19.4,64.15
7352,25.3,63.7
7353,30.7,63.87
7354,30,63.72
7355,21.6,64.07
7356,21.8,64.04
7357,22.3,63.97
7358,21.6,63.88
7359,21,63.86
7360,21.3,64.21
7361,20.8,63.75
7362,20.6,64.09
7363,20.8,63.83
7364,20.7,63.8
7365,20.4,64.09
7366,20.6,64.03
7367,20.4,63.56
7368,19.6,63.31
7369,19,63.8
7370,19.3,62.23
7371,21,64.77
7372,22.5,64.6
7373,23.3,64.51
7374,23.5,64.38
7375,23.2,64.41
7376,23.1,64.3
7377,26.4,64.33
7378,25.5,64.64
7379,25.3,64.58
7380,17.9,38.64
7381,18,38.57
7382,17.7,38.41
7383,17.9,38.56
7384,17.6,38.62
7385,19.2,63.8
7386,20.7,64.53
7387,20.7,64.71
7388,20.5,64.45
7389,20.9,64.62
7390,21.2,64.76
7391,21.2,64.75
7392,22.9,79.19
7393,24,80.3
7394,24.6,80.22
7395,25,80.07
7396,25.2,80.39
7397,25,80.39
7398,24.6,79.7
7399,24.1,80.02
7400,23.3,80.14
7401,22.9,80.99
7402,20.7,80.4
7403,22.3,80.3
7404,20.7,56.46
7405,15.4,38.63
7406,15.5,38.59
7407,16.3,38.65
7408,16.2,38.65
7409,18.4,38.74
7410,19.1,78.66
7411,19.7,80.49
7412,19.6,80.8
7413,17.9,80.41
7414,19.1,80.73
7415,18.8,80.83
7416,19.9,80.79
7417,21.8,80.45
7418,21.9,80.31
7419,21.6,80.74
7420,21.7,80.81
7421,21.6,80.5
7422,21.4,80.34
7423,22.1,80.61
7424,22.3,80.83
7425,22.2,80.69
7426,21.9,80.69
7427,21.9,80.54
7428,21.8,80.81
7429,21,80.38
7430,20.5,80.82
7431,20.2,80.8
7432,22.3,80.71
7433,15,34.53
7434,20.3,63.34
7435,20.5,64
7436,16.3,63.99
7437,13.5,64.15
7438,13.3,63.58
7439,18.6,74.4
7440,20.6,74.35
7441,19.7,74.42
7442,17.5,74.98
7443,17.8,74.41
7444,16.9,74.64
7445,17.4,74.27
7446,18.8,74.67
7447,18.9,74.5
7448,20.3,74.39
7449,20.6,74.74
7450,19.5,74.83
7451,19.9,74.42
7452,21.1,74.28
7453,21.2,74.46
7454,21.7,74.39
7455,21.3,74.8
7456,20.9,74.66
7457,28,74.42
7458,29.4,74.79
7459,23.4,74.71
7460,22.1,74.57
7461,22.4,74.47
7462,22.5,74.58
7463,22.5,74.51
7464,22.6,74.86
7465,22.3,73.39
7466,23.3,75.46
7467,23.1,75.47
7468,22.8,75.46
7469,22.3,75.49
7470,21.7,75.49
7471,25,75.49
7472,25.2,75.43
7473,25.4,75.45
7474,22.6,75.49
7475,22.7,75.48
7476,21.4,75.49
7477,20.9,75.41
7478,21.4,75.48
7479,21.5,75.48
7480,20.9,75.47
7481,20.6,75.48
7482,20.4,75.51
7483,19.9,75.51
7484,19.7,75.68
7485,21.8,98.39
7486,23.3,100.35
7487,24.1,100.69
7488,24.3,100.52
7489,24.4,100.34
7490,26.1,100.26
7491,25.8,100.52
7492,25.4,100.52
7493,25.9,100.51
7494,26,100.44
7495,27.4,100.26
7496,27.5,100.52
7497,27,100.78
7498,26.4,100.52
7499,26.3,100.52
7500,26.2,100.52
7501,23.9,100.61
7502,24,100.72
7503,26.6,100.46
7504,26.6,100.27
7505,26.9,100.44
7506,25.7,100.86
7507,26.5,100.97
7508,26.7,101.12
7509,27.8,101.03
7510,28.1,100.72
7511,28.9,99.54
7512,28.4,101.06
7513,28.8,100.22
7514,29.5,99.38
7515,28.9,100.34
7516,27.1,101.06
7517,26.8,100.78
7518,29.5,100.61
7519,29.8,98.81
7520,28.1,101.29
7521,21.8,69.6
7522,21.6,70.15
7523,21.5,70.13
7524,20.6,70.11
7525,20.2,69.24
7526,16.6,29.08
7527,19.9,57.59
7528,11.5,40.96
7529,17,99.61
7530,17.9,100.18
7531,18,99.87
7532,18.1,100.01
7533,18.1,100.26
7534,18.5,99.92
7535,22.5,99.92
7536,21.5,99.92
7537,21.2,100.09
7538,20.1,100.17
7539,20.4,100.09
7540,20.9,100.23
7541,21.6,100.31
7542,21.7,100.22
7543,21.3,100.18
7544,20.6,100.09
7545,21,99.92
7546,21.1,100.09
7547,22,100.18
7548,21.9,100.18
7549,21.5,99.83
7550,22.1,99.92
7551,22.3,100.09
7552,22.4,100.01
7553,22,100.09
7554,22.4,100.01
7555,22,100.05
7556,22.3,100.06
7557,23.3,99.89
7558,23.1,100.08
7559,23.7,100.16
7560,23.5,98.63
7561,21.9,100.69
7562,23.5,100.31
7563,16.8,49.61
7564,17.1,49.8
7565,16.4,47.75
7566,16.4,38.57
7567,19,38.59
7568,18.4,55.74
7569,18.1,64.71
7570,17.5,64.47
7571,17.3,64.76
7572,18.2,64.74
7573,18.7,66.43
7574,22.2,98.64
7575,23.3,100.55
7576,24.2,100.69
7577,23.9,100.52
7578,23.4,100.6
7579,24,100.61
7580,25.1,100.6
7581,26.2,106.79
7582,27.6,114.28
7583,28.4,115.13
7584,28.8,115.04
7585,29,115.29
7586,30,117.73
7587,32.2,125.24
7588,33.4,124.61
7589,33.7,120.02
7590,32.5,124.69
7591,33.7,125.12
7592,31.4,125.64
7593,32,121.01
7594,31.8,123.81
7595,31.6,125.16
7596,30.9,125.94
7597,30.4,125.98
7598,30.6,126.19
7599,31.8,126.51
7600,34.2,133.84
7601,18,29.97
7602,17.4,49.74
7603,16.7,49.42
7604,16.6,49.29
7605,17,49.23
7606,16.6,49.42
7607,16,49.59
7608,15.3,49.54
7609,16,53.65
7610,19,79.26
7611,19.7,80.35
7612,20.8,92.58
7613,23.1,100.78
7614,23.6,101.03
7615,24.1,100.94
7616,24.5,100.94
7617,24.6,101.21
7618,24.3,101.12
7619,24,101.03
7620,25.4,101.06
7621,25.5,101.04
7622,25.2,100.85
7623,12.6,42.34
7624,17.6,98.52
7625,19.4,100
7626,20.6,99.92
7627,20.6,100.01
7628,20.7,100.01
7629,20.6,100.08
7630,24.2,100.09
7631,24.5,100.01
7632,24.7,99.71
7633,12.1,28.39
7634,11.3,28.12
7635,11.3,28.05
7636,11.1,28.1
7637,12.8,53.12
7638,13.3,53.55
7639,13.8,67.3
7640,13.9,98.47
7641,13.6,98.3
7642,14.5,98.3
7643,17.5,98.3
7644,18.2,98.39
7645,18.3,98.47
7646,19.2,98.47
7647,15.9,49.15
7648,13.3,46.62
7649,12.1,33.39
7650,11.7,33.27
7651,11.6,33.3
7652,11.6,33.4
7653,9.9,30.42
7654,9.9,28.08
7655,10.1,29.92
7656,10.2,29.91
7657,12.5,42.39
7658,18.1,97.86
7659,20.5,100.23
7660,21.3,100.4
7661,21.7,100.56
7662,24.2,100.31
7663,23.5,100.39
7664,21.8,100.39
7665,21.4,100.63
7666,20.6,100.77
7667,20.9,100.69
7668,20.8,100.61
7669,19.9,100.6
7670,21.4,100.47
7671,21.8,100.47
7672,21.5,100.87
7673,21,100.61
7674,29.6,100.43
7675,35.1,98.98
7676,35.3,65.19
7677,35.1,87.26
7678,29.6,100.18
7679,26,100.69
7680,23,100.51
7681,23.1,100.69
7682,21.7,100.17
7683,19.6,100.86
7684,19.4,100.6
7685,19.3,100.55
7686,18.5,100.55
7687,19.9,100.61
7688,20.6,100.69
7689,19.6,100.69
7690,19.8,100.6
7691,20.7,100.15
7692,20.4,100.66
7693,23,100.77
7694,24.2,100.68
7695,24.9,100.94
7696,22.5,100.86
7697,22,101.29
7698,21.7,101.2
7699,22.3,101.03
7700,21.6,100.78
7701,20.6,101.03
7702,20.9,101.03
7703,21.1,100.86
7704,27.5,100.78
7705,33.9,100.44
7706,35.1,100.69
7707,17.9,49.54
7708,12.8,49.51
7709,12.9,49.65
7710,12.8,49.65
7711,13.3,49.71
7712,13.1,49.44
7713,13.3,49.59
7714,13.3,49.47
7715,14.3,64.84
7716,15.4,74.88
7717,16,75.49
7718,6.8,47.79
7719,7.3,48.58
7720,7.3,48.73
7721,5.9,48.61
7722,6.1,48.82
7723,6.4,48.8
7724,6.6,48.85
7725,12.2,48.79
7726,20.4,48.66
7727,21.6,48.62
7728,20.2,49.17
7729,7.3,48.75
7730,6.8,48.65
7731,7.6,48.78
7732,7.9,48.71
7733,8.3,48.13
7734,6.3,28.12
7735,7,28.11
7736,10.8,28.05
7737,13.4,27.99
7738,14.4,28.25
7739,4.9,28.05
7740,5,28.05
7741,5.1,28.07
7742,5.4,28.01
7743,5.2,28.12
7744,5.1,28.24
7745,10,73.59
7746,17.7,74.21
7747,20.9,74.37
7748,19.7,75.06
7749,9.9,75.05
7750,8.6,74.12
7751,9.1,75.44
7752,9.5,75.48
7753,9.7,75.49
7754,9.8,75.51
7755,9.8,75.48
7756,12.7,75.48
7757,13.6,75.51
7758,12.7,75.48
7759,11.4,75.51
7760,11,75.49
7761,10.5,75.49
7762,11.1,75.46
7763,11.4,75.47
7764,11.1,75.49
7765,11.6,75.49
7766,12.6,75.51
7767,12.6,75.49
7768,12.9,75.51
7769,13.1,75.5
7770,13.5,75.51
7771,13.2,75.5
7772,13.5,75.51
7773,13.5,75.51
7774,15.1,75.51
7775,19.2,75.46
7776,24.5,75.46
7777,25.5,75.48
7778,23.8,75.5
7779,24.1,75.28
7780,18.4,49.89
7781,13.1,49.84
7782,9.8,49.7
7783,10,49.81
7784,10.5,49.67
7785,10.5,49.7
7786,9.6,49.74
7787,9.8,49.62
7788,12.3,49.66
7789,13.4,49.89
7790,12.7,49.87
7791,9.9,49.48
7792,10,49.55
7793,9.9,49.56
7794,13.2,100.33
7795,14.8,101.02
7796,16,101.03
7797,16.1,101.03
7798,16,101.2
7799,15.7,101.2
7800,15.7,100.86
7801,15.9,101.03
7802,15.9,101.21
7803,16,101.03
7804,16.2,101.03
7805,16.4,100.94
7806,16.8,100.97
7807,17.3,100.98
7808,16.8,100.98
7809,16.4,100.89
7810,16.7,101.21
7811,17.3,101.1
7812,17.5,100.86
7813,7.2,17.3
7814,11.9,99.53
7815,12.5,100
7816,13.2,100.17
7817,13.6,100
7818,13.6,100.18
7819,13.4,100.18
7820,16.4,100.09
7821,16.2,99.32
7822,16.3,100.26
7823,14.7,100.06
7824,14.9,100.05
7825,15.3,100.27
7826,15.6,100.18
7827,15.8,100.05
7828,16.5,100.05
7829,16.7,100.05
7830,16.6,100.1
7831,17.3,100.01
7832,17.1,100.35
7833,15.7,100
7834,15.7,100.17
7835,15.8,100.18
7836,15.9,100.18
7837,16.1,100
7838,16.1,99.75
7839,16.4,100
7840,16.2,100.14
7841,16.3,100.18
7842,16.2,99.2
7843,11.3,49.01
7844,9.9,48.9
7845,9.8,48.7
7846,9.4,49.62
7847,9.6,49.52
7848,9.6,49.79
7849,9.5,49.73
7850,10.3,49.67
7851,10.3,49.72
7852,12.9,49.46
7853,13.1,49.6
7854,12.5,48.83
7855,8.5,29.72
7856,8.3,29.66
7857,8.4,29.68
7858,15.6,29.79
7859,19.6,29.81
7860,20.2,29.8
7861,26,65.49
7862,29.7,98.22
7863,22.1,100.9
7864,20.9,100.95
7865,18.5,100.69
7866,16.4,100.69
7867,15.6,100.72
7868,15.9,100.69
7869,17,100.86
7870,17.3,100.6
7871,17.7,100.69
7872,17.8,100.52
7873,17.9,100.56
7874,17.9,100.55
7875,18,100.72
7876,24.6,100.43
7877,27,100.52
7878,25.8,100.51
7879,23.5,100.6
7880,27.7,100.43
7881,33.2,100.52
7882,34.8,99.58
7883,32.3,100.3
7884,31.5,100.22
7885,25.7,101.07
7886,22.5,101.04
7887,19.1,100.94
7888,19.1,100.59
7889,19.2,101.19
7890,20.1,101.38
7891,22.1,100.86
7892,22.2,100.95
7893,21.5,100.86
7894,21.5,101.11
7895,19.8,101.37
7896,19,100.94
7897,19.2,100.8
7898,20,100.98
7899,20.6,101.06
7900,20.6,101.12
7901,21.1,100.78
7902,21,100.86
7903,20.9,101.03
7904,21.2,101.15
7905,21,100.95
7906,22,100.86
7907,22.2,101.12
7908,22.3,100.97
7909,13.4,83.79
7910,15.5,99.06
7911,16.5,100.09
7912,16.4,100
7913,16.6,99.92
7914,16.8,99.75
7915,16.3,100.26
7916,19.7,99.97
7917,19,100.18
7918,8.9,48.28
7919,9.3,48.35
7920,9.5,48.67
7921,10.2,48.79
7922,10.3,48.75
7923,10.2,48.76
7924,10.2,48.79
7925,9.5,48.81
7926,9,48.85
7927,8.8,48.8
7928,8.9,48.66
7929,9.3,48.77
7930,9.8,48.97
7931,9.8,48.79
7932,10.1,48.69
7933,10.5,48.82
7934,10.2,48.69
7935,10,48.58
7936,10.2,48.65
7937,10,48.45
7938,9.8,48.72
7939,9.7,48.86
7940,12.4,81.72
7941,14.3,97.18
7942,16.9,99.59
7943,18.6,100.6
7944,19,100.59
7945,17.3,100.52
7946,16.8,100.43
7947,18.2,100.56
7948,19.5,100.36
7949,19.9,100.7
7950,16.9,100.5
7951,16.6,100.67
7952,16.2,100.42
7953,16.6,100.69
7954,16.5,100.6
7955,16.1,100.35
7956,18,100.78
7957,18.2,100.6
7958,18.3,100.56
7959,17.9,48.1
7960,11.8,38.85
7961,12.7,38.65
7962,11.2,38.61
7963,11,38.59
7964,11.5,38.6
7965,15.1,38.55
7966,14.8,38.79
7967,13.3,38.53
7968,12.3,32.83
7969,10.1,24.68
7970,10.9,32.79
7971,12.3,48.98
7972,14.7,55.47
7973,16.6,75.42
7974,16.9,75.5
7975,16.6,75.51
7976,16.4,75.52
7977,16.6,75.52
7978,17.1,75.45
7979,27.2,75.48
7980,33.5,75.48
7981,34.4,75.49
7982,20.7,73.05
7983,18.5,75.6
7984,18.7,75.49
7985,21.5,75.49
7986,28.8,75.5
7987,32.4,75.49
7988,33.3,75.51
7989,35.3,88.72
7990,35.9,94.79
7991,37,101.2
7992,31,101.28
7993,25.3,101.28
7994,25.3,101.27
7995,22.5,101.02
7996,21.5,100.62
7997,22.9,101.04
7998,23.9,100.69
7999,22.7,101.06
8000,21.5,101.04
8001,22.7,101.12
8002,22.6,100.95
8003,22.5,101.12
8004,12.1,39.93
8005,16.1,99.7
8006,16.8,100.1
8007,17.2,99.92
8008,20.6,99.91
8009,20.1,99.92
8011,21.5,99.83
8005,3.4,88.2
8006,2.3,99.41
8007,2.4,99.5
8008,2.3,99.75
8009,13,98.87
8010,19.4,98.87
8011,20.3,99.93
8012,21.7,100.09
8013,20.3,100.39
8014,19.3,100.05
8015,20.4,100.01
8016,22.7,99.84
8017,22.8,100.05
8018,22.5,100.44
8019,21.8,121.43
8020,24.1,135.1
8021,25.3,135.02
8022,25.7,135.11
8023,25.8,135.11
8024,26,135.34
8025,25.7,135.35
8026,26.2,135.1
8027,26.2,134.85
8028,26,135.02
8029,27,142.27
8030,28.1,149.7
8031,28.7,149.71
8032,29.1,149.8
8033,29.9,149.62
8034,29.9,149.98
8035,29.4,147.08
8036,30,149.78
8037,31.9,149.88
8038,31.8,150.23
8039,31.1,144.91
8040,23.9,79.75
8041,22.7,103
8042,27.4,144.91
8043,28.1,149.87
8044,26.3,150.13
8045,30.1,150.3
8046,30.4,150.31
8047,27.7,145.18
8048,27.1,143.04
8049,27.7,146.12
8050,27.5,146.46
8051,27.3,141.25
8052,28,146.4
8053,29.8,146.57
8054,30.1,149.27
8055,29,149.04
8056,31.4,150.14
8057,31.5,149.38
8058,29.3,150.06
8059,28.7,149.63
8060,30,149.8
8061,31.5,149.79
8062,30.4,148.69
8063,28.2,150.04
