Hole Depth,Weight on Bit,Rate Of Penetration
7128,20.3,116.57
7129,19.7,99.32
7130,18.4,120.24
7131,19.5,117.93
7132,21,106.67
7133,16.8,29.53
7134,18.6,111.87
7135,20.1,117.76
7136,20.7,118.87
7137,20.7,117.93
7138,20.6,118.11
7139,20.4,111.17
7140,20.7,109.75
7141,20.6,113.02
7142,20.6,111.46
7143,20.9,97.71
7144,21.1,115.62
7146,9.4,28.61
7147,10.3,33.38
7148,9.9,33.46
7149,8.9,33.41
7150,9.1,36.78
7151,12.4,36.84
7152,11.1,36.93
7153,11.3,36.72
7154,10.5,36.57
7155,10.6,36.36
7156,10.7,34.45
7157,10.3,35.41
7158,10.7,34.79
7159,11.2,34.88
7160,11.4,34.87
7161,9.1,37.75
7162,9,38.28
7163,11.3,41.63
7164,11.1,37.19
7165,8.8,39.02
7166,8,34.43
7167,14,132.46
7168,14.2,136.56
7169,14.8,129.81
7170,14.1,132.96
7171,13.9,118.35
7172,13.2,122.9
7173,12.8,143.04
7174,12.3,140.33
7175,12.8,140.75
7179,12.3,136.13
7180,12.1,138.01
7181,14.3,137.92
7182,4.9,54.05
7183,10.9,137.72
7184,13.7,149.53
7185,11.6,142.61
7186,13.6,149.61
7187,14.3,130.85
7188,16.4,140.41
7189,14.5,119.05
7190,13.2,148.43
7191,12.6,139.64
7192,14.3,141.43
7193,14.5,141.32
7194,11.5,150.03
7195,12.5,149.18
7196,15.4,146.71
7197,18.1,147.65
7198,17.6,122.48
7199,19.5,133.94
7200,19.3,105.45
7201,14,27.74
7202,10.9,22.71
7203,13.3,18.51
7204,10.5,16.4
7205,15,24.33
7206,15.9,23.03
7207,11.9,21.59
7208,11.8,21.65
7209,11.8,25.83
7210,11,26.28
7211,14.6,26.51
7212,11.4,26.32
7213,10.9,26.15
7214,15.6,26.07
7215,14.1,25.91
7216,14.9,66.63
7217,18.8,116.57
7218,15.3,45.89
7219,17.9,128.39
7220,19.6,130.87
7221,20.9,132.6
7222,23,108.36
7223,10.5,27.63
7224,16.7,128.53
7225,11.2,114.48
7226,14.4,120.85
7227,16.4,118.28
7228,16.5,112.9
7229,15.6,119.01
7230,16.1,119.91
7231,15.7,103.51
7232,17.3,114.44
7233,16.3,105.16
7234,16,107.97
7235,16.4,112.54
7236,19.7,120.25
7237,17.8,105.42
7238,17.8,86.22
7239,17.7,74.96
7240,18.2,73.87
7241,17.1,98.15
7242,21.3,108.45
7243,18.6,34.44
7244,21.4,101.33
7245,21.6,90.86
7246,20.7,83.8
7247,19.4,81.88
7248,19.9,106.16
7249,19.6,106.24
7250,19.6,105.12
7251,19.5,104.54
7252,19.2,101.6
7253,19.6,98.65
7254,19.6,96.93
7255,19.5,93.47
7256,19.6,93.52
7257,19.7,95.9
7258,19.8,92.23
7259,19.3,94.54
7260,19.5,95.9
7261,19.3,108.8
7262,19.3,99.66
7263,18.9,104.36
7264,19,104.87
7265,18.5,103.6
7266,18.4,106.33
7267,18.5,109.06
7268,18.9,104.68
7269,19.3,103.29
7270,19.6,93.05
7271,19.5,88.08
7272,19.3,88.92
7273,19.3,86.48
7274,19.3,94.77
7275,19.8,101.62
7276,19.4,96.33
7277,19.4,99.16
7278,18.6,82.62
7279,18,81.79
7280,18.1,101.19
7281,18.1,95.57
7282,18,90.28
7283,18,84.88
7284,19.6,101.19
7285,19.4,101.63
7286,19.6,101.97
7287,10.6,29.92
7288,10.1,29.88
7289,9.5,29.9
7290,8.9,34.58
7291,8.9,34.58
7292,9.2,34.2
7293,9.2,38.61
7294,11,38.66
7295,10,38.64
7296,9.9,38.65
7297,10,38.59
7298,9.1,41.79
7299,9.7,43.68
7300,10.9,44.12
7307,9.4,74.16
7308,11.5,120.37
7309,14.3,122.06
7310,13.6,124.16
7311,14.6,128.97
7312,18.1,130.31
7313,18,130.44
7314,12.9,140.17
7315,13.4,145.31
7316,15.5,145.31
7317,15.7,144.63
7318,14.9,143.12
7319,13.7,142.51
7320,13.6,145.77
7321,13.9,145.43
7322,13.5,144.5
7323,13.8,144.41
7324,14.9,143.73
7325,15.1,136.13
7326,15.4,129.98
7327,15,131.82
7328,15.2,135.12
7329,15.3,139.07
7330,15.8,137.64
7331,16,134.53
7332,16.1,130.08
7333,16.9,133.91
7334,17.6,130.49
7335,9.9,83.96
7336,15.2,118.58
7337,15.8,118.5
7338,17,117.41
7339,16,109.9
7340,17.9,119.4
7341,15.5,119.57
7342,14.9,118.99
7343,13.4,119.13
7344,13.7,117.77
7345,14.1,119.44
7346,14.8,124.41
7347,15.5,132.62
7348,15.5,134.07
7349,15.7,134.07
7350,15.6,133.53
7351,15.5,133.6
7352,15.4,133.77
7353,15.4,132.5
7354,14.4,134.78
7355,14.9,134.61
7356,14.9,134.52
7357,15.3,134.24
7358,14.9,134.56
7359,15.5,134.06
7360,15.8,132.7
7361,15.4,132.68
7362,15.3,133.6
7363,16,133.34
7364,15.9,129.97
7365,16.2,127.44
7366,15.9,124.4
7367,15.4,129.28
7368,15.2,131.08
7369,15.2,129.76
7370,15.2,128.49
7371,15.1,130.24
7372,17.1,129.9
7373,17.1,128.8
7374,16.4,131.15
7375,15.9,131.32
7376,16.1,125.03
7377,16.1,124.61
7378,15.7,126.65
7379,16.4,128.11
7380,16,126.06
7381,12.1,112.49
7382,14.4,135.52
7383,15,136.46
7384,14.9,135.2
7385,14.9,138.01
7386,14.8,134.51
7387,15,136.65
7388,15.3,136.73
7389,16.1,132.38
7390,16.3,126.65
7391,15.8,131.01
7392,15.1,134.77
7393,15.5,135.03
7394,15.6,134.69
7395,16,133.09
7396,16.2,132.5
7397,16.4,132.47
7398,15.7,129.05
7399,15.3,133.49
7400,15.6,133.23
7401,16.4,125.7
7402,15.9,119.39
7403,18.5,125.71
7404,17,135.86
7405,17,135.85
7406,14.3,138.92
7407,14.8,139.69
7408,15,135.1
7409,15,137.24
7410,15.4,136.65
7411,14.5,137.24
7412,14.9,139.87
7413,15,136.51
7414,15.7,132.18
7415,16.1,129.05
7416,11.5,44.5
7417,12.8,44.94
7418,12.9,43.04
7419,10.9,44.89
7420,11.7,46.97
7421,12.1,48.97
7422,12,49.58
7423,13.5,54.77
7424,13.5,54.51
7425,12.7,49.98
7426,12.4,51.57
7427,12.3,53.38
7428,13.5,54.95
7429,6.2,44.59
7430,6.9,53.43
7431,6.9,53.62
7432,5.9,53.67
7433,6.3,57.79
7434,7.3,57.99
7435,8.3,57.06
7436,8.1,108.94
7437,9.3,139.2
7438,10,137.76
7439,9.9,133.91
7440,10.6,138
7441,10,137.93
7442,10.9,139.74
7443,10.5,139.72
7444,11.1,139.55
7445,14.9,137.85
6082,6.8,184.17
6083,6.8,185.93
6084,7.5,185.26
6085,8.4,157.58
6086,7.1,164.74
6087,7.1,169.02
6088,6.6,172.2
6089,6.8,179.36
6090,6.7,178.5
6091,7.2,173.7
6092,7.2,166.7
6093,6.9,175.24
6094,7.2,175.07
6095,7.4,165.08
6096,7.4,156.79
6097,7.1,161.23
6098,7.2,161.58
6099,7.3,161.49
6100,7.1,166.44
6101,7.2,168.49
6102,7.3,160.91
6103,6.5,176.03
6104,7,176.03
6105,7.5,167.23
6106,8,149.88
6107,8.1,142.46
6109,5.2,170.42
6110,5.1,156.44
6111,4.7,164.92
6112,4.4,172.69
6113,5.2,168.23
6114,5.2,144.93
6115,6.3,143.4
6116,6,133.3
6117,5.4,134.68
6118,5.4,151.59
6119,4.8,152.02
6120,5.8,152.53
6121,5.6,129.37
6122,5.9,125.63
6123,6,132.71
6124,5.2,141.08
6125,5.4,139.99
6126,5.5,132.89
6127,4.6,151.51
6128,4.9,153.9
6129,5.4,144.33
6130,5.4,132.72
6131,5.7,125.71
6132,5.8,134.35
6133,5.6,127.5
6134,5.8,123.57
6135,5.1,137.47
6136,5.9,141.18
6137,5.8,126.23
6138,6,119.84
6139,5.7,120.32
6140,6.1,120.76
6141,5.2,128.43
6142,6.4,128.43
6143,6.2,125.88
6144,6.1,127.84
6145,6.2,114.78
6146,6.3,118.79
6147,9.1,122.29
6148,9.1,122.63
6149,7.9,151.69
6150,7.8,160.65
6151,7.9,153.9
6152,8.2,148.09
6153,8.1,152.01
6154,8.2,155.87
6155,8.9,144.92
6156,9,126.39
6157,7.7,143.9
6158,8,148
6159,8.4,151.76
6160,8.4,135.37
6161,8.9,135.28
6162,8.7,125.93
6163,9.5,124.86
6164,8.8,126.83
6165,8.9,126.83
6166,9.1,122.66
6167,9,114.64
6168,8.9,120.92
6169,8.8,132.36
6170,8.9,127.42
6171,8.7,128.95
6172,8.8,129.22
6173,9.2,121.53
6174,9.2,112.13
6175,8.9,115.21
6176,8.9,114.61
6177,10.1,118.71
6178,9.9,98.19
6179,9.8,91.4
6180,9.1,110.42
6181,8.9,116.32
6182,8.8,118.2
6183,8.5,132.84
6184,8.8,132.84
6185,8.7,124.69
6186,8.9,126.44
6187,9.1,117.25
6188,9,111.93
6189,8.9,118.18
6190,9,118.44
6191,8.9,124.84
6192,9.4,115.28
6193,9.2,117.6
6194,9.2,117.26
6195,9.2,106.54
6196,9.4,109.49
6197,9.3,109.83
6198,9.1,108.29
6199,9.2,117.77
6200,9.7,113.49
6201,9.7,88.92
6202,0,39.87
6203,12.2,199.75
6204,13.7,213.41
6202,13.4,170.37
6203,5.7,124.25
6204,12.6,200.51
6205,13.9,212.48
6206,13.7,173.62
6207,13.9,159.36
6208,14.2,150.79
6209,14.2,161.08
6210,13.2,153.23
6211,12.7,183.54
6212,12.8,182.17
6213,11,85.72
6214,13.3,166.45
6215,13.5,157.49
6216,13.5,146.38
6217,13.3,142.11
6218,13.3,153.3
6219,13,155.78
6220,13,152.12
6221,13.2,152.14
6222,13.3,147.07
6223,13.5,147.07
6224,12.8,153.56
6225,13.1,152.2
6226,13.4,149.27
6227,13.3,139.39
6228,13.2,145.19
6229,13.3,146.9
6230,13.3,155.61
6231,5,33.54
6232,4.9,33.47
6233,4.8,33.95
6234,5.1,34.04
6235,5.4,34.11
6236,5.6,34.24
6237,6.1,34.18
6238,6.7,34.18
6239,7.2,34.18
6240,8.6,34.2
6241,9.3,34.27
6242,7.2,34.23
6243,5.9,34.11
6244,7.2,34.21
6245,7.3,34.26
6246,9.2,34.19
6247,7.6,34.25
6248,10.4,34.18
6249,9.5,34.18
6250,7.9,34.24
6251,9.9,34.07
6252,14.4,34.09
6253,15,33.88
6254,10.9,34.22
6255,14.1,33.87
6256,15.1,34.16
6257,13.6,34.05
6258,11.5,34.22
6259,12,34.14
6260,15.2,34.56
6261,15.5,34.52
6262,15.3,34.25
6263,13.4,34.49
6264,14.5,34.25
6265,14.4,34.21
6266,12.9,34.23
6267,16,34.25
6268,15.3,33.64
6269,15.3,33.87
6270,15.3,34.14
6271,15.6,34.18
6272,14.4,34.36
6273,15.4,34.25
6274,14.3,34.47
6275,15.1,34.42
6276,15.6,34.21
6277,15.2,34.71
6278,13.2,34.91
6279,15,34.51
6280,14.1,34.52
6281,15.7,34.59
6282,15.1,33.95
6283,14.7,34.39
6284,12.2,34.33
6285,15,34.44
6286,15.3,34.46
6287,14.4,34.45
6288,15.6,34.84
6289,12,34.46
6290,16,34.46
6291,15.9,34.41
6292,15.6,34.47
6293,16.3,33.91
6294,15.4,33.98
6295,16.1,34.22
6296,6.2,29.92
6297,13,33.29
6298,15.3,33.68
6299,11.6,33.4
6300,13.4,33.44
6301,12.9,33.43
6302,12.5,61.96
6303,16.6,63.47
6304,19.5,63.49
6305,18,63.2
6306,16.9,63.93
6307,15.1,63.87
6308,18,63.16
6309,17.7,64.05
6310,17.8,63.9
6311,17.5,64.01
6312,17.4,63.79
6313,18,63.81
6314,18.4,63.98
6315,19.1,63.43
6316,19,63.38
6317,17.4,63.75
6318,17,63.23
6319,16.5,64.05
6320,16.5,63.17
6321,18.5,63.37
6322,18.8,62.13
6323,16.9,63.6
6324,8.6,19.9
6325,9.2,23.17
6326,8.1,22.98
6327,9.7,23.28
6328,9,23.15
6329,11,48.88
6330,13.4,75.82
6331,14.9,75.4
6332,15.8,75.49
6333,14.8,75.49
6334,14.8,75.47
6335,17,75.48
6336,18,75.47
6337,21.3,75.47
6338,20.1,75.53
6339,22.4,74.81
6340,18.1,75.54
6341,18.6,75.26
6342,20.6,74.44
6343,19.6,75.39
6344,19.3,75.47
6345,19.6,75.35
6346,19.9,75.49
6347,19.6,72.74
6348,20.2,73.44
6349,20.9,75.36
6350,19.9,75.35
6351,12.7,36.12
6352,10,16.75
6353,12,48.15
6354,14.2,49.08
6355,8.9,15.95
6356,10.6,27.58
6357,16.3,75.45
6358,18.3,75.26
6359,20.4,75.34
6360,19.9,79.07
6361,20.6,80.34
6362,20.7,80.41
6363,21.5,80.61
6364,22.8,80.62
6365,22.4,80.73
6366,22.3,79.07
6367,23.7,78.81
6368,24.2,79.58
6369,24,78.75
6370,22.2,80.01
6371,22.1,79
