Attribute,Value
Rate Of Penetration (ft/s),3.322166667
Rate Of Penetration (ft/s),1.5565
Rate Of Penetration (ft/s),3.732
Rate Of Penetration (ft/s),3.323333333
Rate Of Penetration (ft/s),1.238833333
Rate Of Penetration (ft/s),3.319333333
Rate Of Penetration (ft/s),3.763666667
Rate Of Penetration (ft/s),3.299666667
Rate Of Penetration (ft/s),3.017666667
Rate Of Penetration (ft/s),3.333666667
Rate Of Penetration (ft/s),3.007833333
Rate Of Penetration (ft/s),3.743333333
Rate Of Penetration (ft/s),1.9325
Rate Of Penetration (ft/s),3.309333333
Rate Of Penetration (ft/s),3.233833333
Rate Of Penetration (ft/s),3.319333333
Rate Of Penetration (ft/s),3.725333333
Rate Of Penetration (ft/s),3.317833333
Rate Of Penetration (ft/s),3.408666667
Rate Of Penetration (ft/s),3.7775
Rate Of Penetration (ft/s),2.98
Rate Of Penetration (ft/s),3.326
Rate Of Penetration (ft/s),3.326333333
Rate Of Penetration (ft/s),1.9625
Rate Of Penetration (ft/s),1.244333333
Rate Of Penetration (ft/s),3.004
Rate Of Penetration (ft/s),3.320333333
Rate Of Penetration (ft/s),2.751666667
Rate Of Penetration (ft/s),3.320666667
Rate Of Penetration (ft/s),3.024
Rate Of Penetration (ft/s),3.765166667
Rate Of Penetration (ft/s),4.004
Rate Of Penetration (ft/s),3.924333333
Rate Of Penetration (ft/s),3.839166667
Rate Of Penetration (ft/s),2.9975
Rate Of Penetration (ft/s),4.008833333
Rate Of Penetration (ft/s),3.694166667
Rate Of Penetration (ft/s),4.0025
Rate Of Penetration (ft/s),3.589833333
Rate Of Penetration (ft/s),3.735333333
Rate Of Penetration (ft/s),4.001166667
Rate Of Penetration (ft/s),4.008333333
Rate Of Penetration (ft/s),3.952833333
Rate Of Penetration (ft/s),3.794166667
Rate Of Penetration (ft/s),3.998166667
Rate Of Penetration (ft/s),4.008333333
Rate Of Penetration (ft/s),3.587833333
Rate Of Penetration (ft/s),4.004333333
Rate Of Penetration (ft/s),3.742333333
Rate Of Penetration (ft/s),4.008333333
Rate Of Penetration (ft/s),3.475666667
Rate Of Penetration (ft/s),3.7465
Rate Of Penetration (ft/s),4.006333333
Rate Of Penetration (ft/s),3.811833333
Rate Of Penetration (ft/s),4.0065
Rate Of Penetration (ft/s),4.048
Rate Of Penetration (ft/s),3.998333333
Rate Of Penetration (ft/s),3.742166667
Rate Of Penetration (ft/s),4.005666667
Rate Of Penetration (ft/s),4.0195
Rate Of Penetration (ft/s),3.707
Rate Of Penetration (ft/s),3.7365
Rate Of Penetration (ft/s),3.999833333
Rate Of Penetration (ft/s),2.393666667
Rate Of Penetration (ft/s),3.725333333
Rate Of Penetration (ft/s),0.811166667
Rate Of Penetration (ft/s),4.171833333
Rate Of Penetration (ft/s),3.8005
Rate Of Penetration (ft/s),1.850333333
Rate Of Penetration (ft/s),3.703666667
Rate Of Penetration (ft/s),2.4695
Rate Of Penetration (ft/s),4.086666667
Rate Of Penetration (ft/s),0.811
Rate Of Penetration (ft/s),4.1335
Rate Of Penetration (ft/s),0.808166667
Rate Of Penetration (ft/s),3.868666667
Rate Of Penetration (ft/s),3.780166667
Rate Of Penetration (ft/s),4.1775
Rate Of Penetration (ft/s),0.812666667
Rate Of Penetration (ft/s),3.725
Rate Of Penetration (ft/s),4.001166667
Rate Of Penetration (ft/s),3.829166667
Rate Of Penetration (ft/s),3.9415
Rate Of Penetration (ft/s),3.733833333
Rate Of Penetration (ft/s),3.829166667
Rate Of Penetration (ft/s),4.0155
Rate Of Penetration (ft/s),4.006833333
Rate Of Penetration (ft/s),3.882666667
Rate Of Penetration (ft/s),3.7235
Rate Of Penetration (ft/s),3.13
Rate Of Penetration (ft/s),3.524333333
Rate Of Penetration (ft/s),3.985833333
Rate Of Penetration (ft/s),3.740666667
Rate Of Penetration (ft/s),3.9815
Rate Of Penetration (ft/s),3.874333333
Rate Of Penetration (ft/s),3.683333333
Rate Of Penetration (ft/s),3.606833333
Rate Of Penetration (ft/s),3.117166667
Rate Of Penetration (ft/s),3.5725
Rate Of Penetration (ft/s),2.919333333
Rate Of Penetration (ft/s),3.661
Rate Of Penetration (ft/s),3.567666667
Rate Of Penetration (ft/s),3.639666667
Rate Of Penetration (ft/s),2.9095
Rate Of Penetration (ft/s),2.505166667
Rate Of Penetration (ft/s),3.908666667
Rate Of Penetration (ft/s),3.850333333
Rate Of Penetration (ft/s),3.332333333
Rate Of Penetration (ft/s),2.8725
Rate Of Penetration (ft/s),3.085833333
Rate Of Penetration (ft/s),3.552666667
Rate Of Penetration (ft/s),2.797
Rate Of Penetration (ft/s),3.507166667
Rate Of Penetration (ft/s),3.346666667
Rate Of Penetration (ft/s),3.5555
Rate Of Penetration (ft/s),3.546166667
Rate Of Penetration (ft/s),3.342166667
Rate Of Penetration (ft/s),3.625166667
Rate Of Penetration (ft/s),3.081666667
Rate Of Penetration (ft/s),3.481333333
Rate Of Penetration (ft/s),3.2725
Rate Of Penetration (ft/s),3.559833333
Rate Of Penetration (ft/s),3.16
Rate Of Penetration (ft/s),3.645333333
Rate Of Penetration (ft/s),3.138666667
Rate Of Penetration (ft/s),3.343333333
Rate Of Penetration (ft/s),3.327666667
Rate Of Penetration (ft/s),3.525833333
Rate Of Penetration (ft/s),3.609833333
Rate Of Penetration (ft/s),3.317666667
Rate Of Penetration (ft/s),3.635333333
Rate Of Penetration (ft/s),2.098
Rate Of Penetration (ft/s),3.652666667
Rate Of Penetration (ft/s),3.658333333
Rate Of Penetration (ft/s),2.095166667
Rate Of Penetration (ft/s),3.661166667
Rate Of Penetration (ft/s),1.86
Rate Of Penetration (ft/s),3.654166667
Rate Of Penetration (ft/s),3.349333333
Rate Of Penetration (ft/s),3.6525
Rate Of Penetration (ft/s),3.383333333
Rate Of Penetration (ft/s),3.566666667
Rate Of Penetration (ft/s),2.0795
Rate Of Penetration (ft/s),3.628166667
Rate Of Penetration (ft/s),2.499166667
Rate Of Penetration (ft/s),3.628333333
Rate Of Penetration (ft/s),3.632833333
Rate Of Penetration (ft/s),3.682333333
Rate Of Penetration (ft/s),2.504833333
Rate Of Penetration (ft/s),3.6005
Rate Of Penetration (ft/s),3.379
Rate Of Penetration (ft/s),3.668
Rate Of Penetration (ft/s),3.696833333
Rate Of Penetration (ft/s),2.095333333
Rate Of Penetration (ft/s),2.102333333
Rate Of Penetration (ft/s),3.325
Rate Of Penetration (ft/s),3.711166667
Rate Of Penetration (ft/s),2.137833333
Rate Of Penetration (ft/s),3.688
Rate Of Penetration (ft/s),3.376166667
Rate Of Penetration (ft/s),3.544166667
Rate Of Penetration (ft/s),3.337833333
Rate Of Penetration (ft/s),2.9765
Rate Of Penetration (ft/s),3.532833333
Rate Of Penetration (ft/s),3.762
Rate Of Penetration (ft/s),3.334666667
Rate Of Penetration (ft/s),3.5625
Rate Of Penetration (ft/s),3.333333333
Rate Of Penetration (ft/s),2.7225
Rate Of Penetration (ft/s),3.7665
Rate Of Penetration (ft/s),3.335
Rate Of Penetration (ft/s),3.345
Rate Of Penetration (ft/s),2.710166667
Rate Of Penetration (ft/s),2.866666667
Rate Of Penetration (ft/s),3.322166667
Rate Of Penetration (ft/s),3.303666667
Rate Of Penetration (ft/s),3.769333333
Rate Of Penetration (ft/s),3.3365
Rate Of Penetration (ft/s),3.765166667
Rate Of Penetration (ft/s),3.340833333
Rate Of Penetration (ft/s),3.615166667
Rate Of Penetration (ft/s),3.763666667
Rate Of Penetration (ft/s),3.338166667
Rate Of Penetration (ft/s),3.011833333
Rate Of Penetration (ft/s),3.3395
Rate Of Penetration (ft/s),2.961166667
Rate Of Penetration (ft/s),3.169
Rate Of Penetration (ft/s),3.351833333
Rate Of Penetration (ft/s),3.326166667
Rate Of Penetration (ft/s),2.980833333
Rate Of Penetration (ft/s),3.772833333
Rate Of Penetration (ft/s),3.749166667
Rate Of Penetration (ft/s),3.333666667
Rate Of Penetration (ft/s),3.823333333
Rate Of Penetration (ft/s),2.855333333
Rate Of Penetration (ft/s),3.822
Rate Of Penetration (ft/s),3.340666667
Rate Of Penetration (ft/s),3.490666667
Rate Of Penetration (ft/s),3.3395
Rate Of Penetration (ft/s),3.636833333
Rate Of Penetration (ft/s),3.549833333
Rate Of Penetration (ft/s),3.342166667
Rate Of Penetration (ft/s),3.868833333
Rate Of Penetration (ft/s),3.074833333
Rate Of Penetration (ft/s),3.870333333
Rate Of Penetration (ft/s),3.087333333
Rate Of Penetration (ft/s),3.549833333
Rate Of Penetration (ft/s),3.347666667
Rate Of Penetration (ft/s),3.778
Rate Of Penetration (ft/s),3.770833333
Rate Of Penetration (ft/s),3.339333333
Rate Of Penetration (ft/s),3.4745
Rate Of Penetration (ft/s),3.336333333
Rate Of Penetration (ft/s),3.769333333
Rate Of Penetration (ft/s),3.515833333
Rate Of Penetration (ft/s),2.75
Rate Of Penetration (ft/s),3.342
Rate Of Penetration (ft/s),3.340666667
Rate Of Penetration (ft/s),3.772
Rate Of Penetration (ft/s),3.767666667
Rate Of Penetration (ft/s),2.950666667
Rate Of Penetration (ft/s),3.344833333
Rate Of Penetration (ft/s),3.769166667
Rate Of Penetration (ft/s),3.341666667
Rate Of Penetration (ft/s),2.9535
Rate Of Penetration (ft/s),3.925166667
Rate Of Penetration (ft/s),0.8255
Rate Of Penetration (ft/s),3.684833333
Rate Of Penetration (ft/s),3.319166667
Rate Of Penetration (ft/s),2.498166667
Rate Of Penetration (ft/s),0.823666667
Rate Of Penetration (ft/s),2.491
Rate Of Penetration (ft/s),3.622166667
Rate Of Penetration (ft/s),3.981
Rate Of Penetration (ft/s),3.667833333
Rate Of Penetration (ft/s),0.8195
Rate Of Penetration (ft/s),3.916833333
Rate Of Penetration (ft/s),3.492833333
Rate Of Penetration (ft/s),0.825166667
Rate Of Penetration (ft/s),0.824333333
Rate Of Penetration (ft/s),3.838666667
Rate Of Penetration (ft/s),1.666833333
Rate Of Penetration (ft/s),3.875833333
Rate Of Penetration (ft/s),3.7085
Rate Of Penetration (ft/s),0.828333333
Rate Of Penetration (ft/s),3.738166667
Rate Of Penetration (ft/s),0.481833333
Rate Of Penetration (ft/s),0.826
Rate Of Penetration (ft/s),0.831166667
Rate Of Penetration (ft/s),0.826
Rate Of Penetration (ft/s),0.911166667
Rate Of Penetration (ft/s),2.488666667
Rate Of Penetration (ft/s),3.9135
Rate Of Penetration (ft/s),0.825
Rate Of Penetration (ft/s),1.6825
Rate Of Penetration (ft/s),3.5965
Rate Of Penetration (ft/s),1.681
Rate Of Penetration (ft/s),3.998166667
Rate Of Penetration (ft/s),3.670666667
Rate Of Penetration (ft/s),3.958333333
Rate Of Penetration (ft/s),3.95
Rate Of Penetration (ft/s),2.436833333
Rate Of Penetration (ft/s),3.998166667
Rate Of Penetration (ft/s),3.998333333
Rate Of Penetration (ft/s),3.759166667
Rate Of Penetration (ft/s),3.958333333
Rate Of Penetration (ft/s),3.993833333
Rate Of Penetration (ft/s),3.9925
Rate Of Penetration (ft/s),3.97
Rate Of Penetration (ft/s),3.714
Rate Of Penetration (ft/s),3.9955
Rate Of Penetration (ft/s),3.680666667
Rate Of Penetration (ft/s),3.994
Rate Of Penetration (ft/s),3.925166667
Rate Of Penetration (ft/s),4.000666667
Rate Of Penetration (ft/s),3.997833333
Rate Of Penetration (ft/s),3.434666667
Rate Of Penetration (ft/s),3.675
Rate Of Penetration (ft/s),3.984
Rate Of Penetration (ft/s),3.448833333
Rate Of Penetration (ft/s),3.991
Rate Of Penetration (ft/s),2.1835
Rate Of Penetration (ft/s),3.692166667
Rate Of Penetration (ft/s),3.955833333
Rate Of Penetration (ft/s),3.9955
Rate Of Penetration (ft/s),3.9965
Rate Of Penetration (ft/s),3.707833333
Rate Of Penetration (ft/s),3.998333333
Rate Of Penetration (ft/s),3.258
Rate Of Penetration (ft/s),1.670833333
Rate Of Penetration (ft/s),4.270333333
Rate Of Penetration (ft/s),3.734
Rate Of Penetration (ft/s),3.419
Rate Of Penetration (ft/s),3.9195
Rate Of Penetration (ft/s),3.932
Rate Of Penetration (ft/s),3.746666667
Rate Of Penetration (ft/s),3.926166667
Rate Of Penetration (ft/s),3.427333333
Rate Of Penetration (ft/s),3.94
Rate Of Penetration (ft/s),3.414833333
Rate Of Penetration (ft/s),2.852666667
Rate Of Penetration (ft/s),4.281666667
Rate Of Penetration (ft/s),3.9415
Rate Of Penetration (ft/s),3.473833333
Rate Of Penetration (ft/s),3.319333333
Rate Of Penetration (ft/s),3.941333333
Rate Of Penetration (ft/s),2.560833333
Rate Of Penetration (ft/s),4.1135
Rate Of Penetration (ft/s),3.529833333
Rate Of Penetration (ft/s),3.763166667
Rate Of Penetration (ft/s),3.6055
Rate Of Penetration (ft/s),4.049833333
Rate Of Penetration (ft/s),2.960666667
Rate Of Penetration (ft/s),3.972
Rate Of Penetration (ft/s),3.745166667
Rate Of Penetration (ft/s),3.930166667
Rate Of Penetration (ft/s),3.9315
Rate Of Penetration (ft/s),3.9655
Rate Of Penetration (ft/s),3.747833333
Rate Of Penetration (ft/s),3.068833333
Rate Of Penetration (ft/s),3.4855
Rate Of Penetration (ft/s),3.887333333
Rate Of Penetration (ft/s),3.939833333
Rate Of Penetration (ft/s),2.515
Rate Of Penetration (ft/s),3.6425
Rate Of Penetration (ft/s),3.998166667
Rate Of Penetration (ft/s),2.778166667
Rate Of Penetration (ft/s),3.938333333
Rate Of Penetration (ft/s),3.939666667
Rate Of Penetration (ft/s),3.551333333
Rate Of Penetration (ft/s),3.698833333
Rate Of Penetration (ft/s),0.817166667
Rate Of Penetration (ft/s),0.485666667
Rate Of Penetration (ft/s),3.9585
Rate Of Penetration (ft/s),1.729333333
Rate Of Penetration (ft/s),3.934166667
Rate Of Penetration (ft/s),1.683666667
Rate Of Penetration (ft/s),3.521333333
Rate Of Penetration (ft/s),4.176666667
Rate Of Penetration (ft/s),3.941666667
Rate Of Penetration (ft/s),3.938833333
Rate Of Penetration (ft/s),2.4865
Rate Of Penetration (ft/s),3.406333333
Rate Of Penetration (ft/s),3.942833333
Rate Of Penetration (ft/s),2.490666667
Rate Of Penetration (ft/s),3.937333333
Rate Of Penetration (ft/s),2.924666667
Rate Of Penetration (ft/s),3.515833333
Rate Of Penetration (ft/s),4.061
Rate Of Penetration (ft/s),3.937
Rate Of Penetration (ft/s),3.9385
Rate Of Penetration (ft/s),3.434833333
Rate Of Penetration (ft/s),3.942
Rate Of Penetration (ft/s),0.655333333
Rate Of Penetration (ft/s),3.687666667
Rate Of Penetration (ft/s),3.676666667
Rate Of Penetration (ft/s),4.000666667
Rate Of Penetration (ft/s),4.012
Rate Of Penetration (ft/s),3.794333333
Rate Of Penetration (ft/s),3.6295
Rate Of Penetration (ft/s),3.784833333
Rate Of Penetration (ft/s),3.871666667
Rate Of Penetration (ft/s),3.907333333
Rate Of Penetration (ft/s),3.866
Rate Of Penetration (ft/s),3.730833333
Rate Of Penetration (ft/s),3.8135
Rate Of Penetration (ft/s),4.011
Rate Of Penetration (ft/s),3.713833333
Rate Of Penetration (ft/s),3.853333333
Rate Of Penetration (ft/s),4.012333333
Rate Of Penetration (ft/s),4.017666667
Rate Of Penetration (ft/s),3.681166667
Rate Of Penetration (ft/s),3.992666667
Rate Of Penetration (ft/s),3.7265
Rate Of Penetration (ft/s),4.014833333
Rate Of Penetration (ft/s),4.009666667
Rate Of Penetration (ft/s),3.451833333
Rate Of Penetration (ft/s),3.715166667
Rate Of Penetration (ft/s),3.702333333
Rate Of Penetration (ft/s),3.8875
Rate Of Penetration (ft/s),3.8275
Rate Of Penetration (ft/s),3.7675
Rate Of Penetration (ft/s),3.5395
Rate Of Penetration (ft/s),4.013333333
Rate Of Penetration (ft/s),3.740833333
Rate Of Penetration (ft/s),3.844666667
Rate Of Penetration (ft/s),3.683666667
Rate Of Penetration (ft/s),3.745
Rate Of Penetration (ft/s),4.011
Rate Of Penetration (ft/s),3.844166667
Rate Of Penetration (ft/s),4.005333333
Rate Of Penetration (ft/s),4.0125
Rate Of Penetration (ft/s),3.814333333
Rate Of Penetration (ft/s),3.855833333
Rate Of Penetration (ft/s),3.733666667
Rate Of Penetration (ft/s),4.007666667
Rate Of Penetration (ft/s),3.7465
Rate Of Penetration (ft/s),3.814333333
Rate Of Penetration (ft/s),3.863
Rate Of Penetration (ft/s),4.002666667
Rate Of Penetration (ft/s),3.8245
Rate Of Penetration (ft/s),4.003833333
Rate Of Penetration (ft/s),3.743666667
Rate Of Penetration (ft/s),4.012
Rate Of Penetration (ft/s),3.7465
Rate Of Penetration (ft/s),3.752
Rate Of Penetration (ft/s),3.806333333
Rate Of Penetration (ft/s),4.009333333
Rate Of Penetration (ft/s),3.7265
Rate Of Penetration (ft/s),4.011
Rate Of Penetration (ft/s),3.977
Rate Of Penetration (ft/s),3.958833333
Rate Of Penetration (ft/s),4.012
Rate Of Penetration (ft/s),4.012166667
Rate Of Penetration (ft/s),3.737833333
Rate Of Penetration (ft/s),3.9915
Rate Of Penetration (ft/s),4.013333333
Rate Of Penetration (ft/s),3.7505
Rate Of Penetration (ft/s),4.012
Rate Of Penetration (ft/s),4.013666667
Rate Of Penetration (ft/s),3.7705
Rate Of Penetration (ft/s),2.819666667
Rate Of Penetration (ft/s),3.7165
Rate Of Penetration (ft/s),3.435833333
Rate Of Penetration (ft/s),3.928333333
Rate Of Penetration (ft/s),3.592666667
Rate Of Penetration (ft/s),3.901333333
Rate Of Penetration (ft/s),3.759
Rate Of Penetration (ft/s),3.703666667
Rate Of Penetration (ft/s),2.429833333
Rate Of Penetration (ft/s),3.793333333
Rate Of Penetration (ft/s),3.7915
Rate Of Penetration (ft/s),2.0695
Rate Of Penetration (ft/s),3.7295
Rate Of Penetration (ft/s),3.6295
Rate Of Penetration (ft/s),3.8005
Rate Of Penetration (ft/s),3.997
Rate Of Penetration (ft/s),3.979833333
Rate Of Penetration (ft/s),3.574
Rate Of Penetration (ft/s),3.747833333
Rate Of Penetration (ft/s),3.595333333
Rate Of Penetration (ft/s),3.987166667
Rate Of Penetration (ft/s),3.993
Rate Of Penetration (ft/s),3.747666667
Rate Of Penetration (ft/s),3.744833333
Rate Of Penetration (ft/s),3.9865
Rate Of Penetration (ft/s),3.9895
Rate Of Penetration (ft/s),3.885666667
Rate Of Penetration (ft/s),3.750833333
Rate Of Penetration (ft/s),3.997
Rate Of Penetration (ft/s),3.766166667
Rate Of Penetration (ft/s),3.992833333
Rate Of Penetration (ft/s),3.646833333
Rate Of Penetration (ft/s),4.012666667
Rate Of Penetration (ft/s),3.732
Rate Of Penetration (ft/s),4.014
Rate Of Penetration (ft/s),4.008166667
Rate Of Penetration (ft/s),3.7465
Rate Of Penetration (ft/s),3.597666667
Rate Of Penetration (ft/s),3.666666667
Rate Of Penetration (ft/s),4.013666667
Rate Of Penetration (ft/s),3.513
Rate Of Penetration (ft/s),3.681
Rate Of Penetration (ft/s),3.4935
Rate Of Penetration (ft/s),4.009833333
Rate Of Penetration (ft/s),3.5865
Rate Of Penetration (ft/s),4.017
Rate Of Penetration (ft/s),3.594166667
Rate Of Penetration (ft/s),3.669333333
Rate Of Penetration (ft/s),1.9695
Rate Of Penetration (ft/s),2.095
Rate Of Penetration (ft/s),3.789166667
Rate Of Penetration (ft/s),3.995166667
Rate Of Penetration (ft/s),2.401333333
Rate Of Penetration (ft/s),3.9995
Rate Of Penetration (ft/s),3.622666667
Rate Of Penetration (ft/s),3.624
Rate Of Penetration (ft/s),3.1355
Rate Of Penetration (ft/s),3.796666667
Rate Of Penetration (ft/s),3.534333333
Rate Of Penetration (ft/s),3.658166667
Rate Of Penetration (ft/s),2.354333333
Rate Of Penetration (ft/s),3.320833333
Rate Of Penetration (ft/s),2.2805
Rate Of Penetration (ft/s),3.487333333
Rate Of Penetration (ft/s),4.0185
Rate Of Penetration (ft/s),3.973833333
Rate Of Penetration (ft/s),4.154833333
Rate Of Penetration (ft/s),3.733666667
Rate Of Penetration (ft/s),3.510166667
Rate Of Penetration (ft/s),4.169166667
Rate Of Penetration (ft/s),4.038666667
Rate Of Penetration (ft/s),3.7435
Rate Of Penetration (ft/s),3.974
Rate Of Penetration (ft/s),4.086666667
Rate Of Penetration (ft/s),4.043666667
Rate Of Penetration (ft/s),3.6155
Rate Of Penetration (ft/s),4.177666667
Rate Of Penetration (ft/s),3.988166667
Rate Of Penetration (ft/s),3.6835
Rate Of Penetration (ft/s),3.565666667
Rate Of Penetration (ft/s),4.029833333
Rate Of Penetration (ft/s),3.978666667
Rate Of Penetration (ft/s),4.069666667
Rate Of Penetration (ft/s),3.558333333
Rate Of Penetration (ft/s),1.6525
Rate Of Penetration (ft/s),3.595666667
Rate Of Penetration (ft/s),3.995166667
Rate Of Penetration (ft/s),3.856166667
Rate Of Penetration (ft/s),1.668
Rate Of Penetration (ft/s),4.004166667
Rate Of Penetration (ft/s),4.040833333
Rate Of Penetration (ft/s),3.893166667
Rate Of Penetration (ft/s),4.1265
Rate Of Penetration (ft/s),4.021666667
Rate Of Penetration (ft/s),3.976833333
Rate Of Penetration (ft/s),0.671166667
Rate Of Penetration (ft/s),3.558333333
Rate Of Penetration (ft/s),3.8175
Rate Of Penetration (ft/s),4.013833333
Rate Of Penetration (ft/s),3.676666667
Rate Of Penetration (ft/s),3.843833333
Rate Of Penetration (ft/s),3.999666667
Rate Of Penetration (ft/s),4.2495
Rate Of Penetration (ft/s),3.645333333
Rate Of Penetration (ft/s),3.5925
Rate Of Penetration (ft/s),4.248
Rate Of Penetration (ft/s),3.525666667
Rate Of Penetration (ft/s),3.666666667
Rate Of Penetration (ft/s),4.029833333
Rate Of Penetration (ft/s),4.245833333
Rate Of Penetration (ft/s),4.029833333
Rate Of Penetration (ft/s),3.679666667
Rate Of Penetration (ft/s),4.2475
Rate Of Penetration (ft/s),4.019333333
Rate Of Penetration (ft/s),3.720833333
Rate Of Penetration (ft/s),3.9405
Rate Of Penetration (ft/s),4.246333333
Rate Of Penetration (ft/s),4.018333333
Rate Of Penetration (ft/s),3.631166667
Rate Of Penetration (ft/s),3.587
Rate Of Penetration (ft/s),4.041
Rate Of Penetration (ft/s),4.036666667
Rate Of Penetration (ft/s),3.618333333
Rate Of Penetration (ft/s),4.033833333
Rate Of Penetration (ft/s),4.024
Rate Of Penetration (ft/s),3.783166667
Rate Of Penetration (ft/s),3.635333333
Rate Of Penetration (ft/s),4.244666667
Rate Of Penetration (ft/s),3.621166667
Rate Of Penetration (ft/s),3.875333333
Rate Of Penetration (ft/s),4.086666667
Rate Of Penetration (ft/s),3.6195
Rate Of Penetration (ft/s),3.920666667
Rate Of Penetration (ft/s),3.8965
Rate Of Penetration (ft/s),3.571833333
Rate Of Penetration (ft/s),3.307833333
Rate Of Penetration (ft/s),3.8915
Rate Of Penetration (ft/s),3.634333333
Rate Of Penetration (ft/s),3.333666667
Rate Of Penetration (ft/s),3.627333333
Rate Of Penetration (ft/s),3.55
Rate Of Penetration (ft/s),3.485333333
Rate Of Penetration (ft/s),3.6315
Rate Of Penetration (ft/s),3.830166667
Rate Of Penetration (ft/s),4.013333333
Rate Of Penetration (ft/s),0.814166667
Rate Of Penetration (ft/s),4.016166667
Rate Of Penetration (ft/s),3.954833333
Rate Of Penetration (ft/s),3.010333333
Rate Of Penetration (ft/s),1.9835
Rate Of Penetration (ft/s),3.602166667
Rate Of Penetration (ft/s),3.868333333
Rate Of Penetration (ft/s),4.245166667
Rate Of Penetration (ft/s),0.732
Rate Of Penetration (ft/s),3.519666667
Rate Of Penetration (ft/s),2.579166667
Rate Of Penetration (ft/s),4.250833333
Rate Of Penetration (ft/s),3.810333333
Rate Of Penetration (ft/s),3.82
Rate Of Penetration (ft/s),3.7705
Rate Of Penetration (ft/s),4.052666667
Rate Of Penetration (ft/s),3.278166667
Rate Of Penetration (ft/s),3.204166667
Rate Of Penetration (ft/s),3.2995
Rate Of Penetration (ft/s),3.687833333
Rate Of Penetration (ft/s),3.801833333
Rate Of Penetration (ft/s),2.908
Rate Of Penetration (ft/s),3.8635
Rate Of Penetration (ft/s),3.046
Rate Of Penetration (ft/s),3.613666667
Rate Of Penetration (ft/s),1.6675
Rate Of Penetration (ft/s),3.919166667
Rate Of Penetration (ft/s),3.579833333
Rate Of Penetration (ft/s),3.9795
Rate Of Penetration (ft/s),1.571333333
Rate Of Penetration (ft/s),3.9855
Rate Of Penetration (ft/s),3.770833333
Rate Of Penetration (ft/s),3.616833333
Rate Of Penetration (ft/s),3.9865
Rate Of Penetration (ft/s),3.608333333
Rate Of Penetration (ft/s),3.84
Rate Of Penetration (ft/s),1.6725
Rate Of Penetration (ft/s),4.000666667
Rate Of Penetration (ft/s),3.851333333
Rate Of Penetration (ft/s),1.669666667
Rate Of Penetration (ft/s),1.6645
Rate Of Penetration (ft/s),4.125166667
Rate Of Penetration (ft/s),4.015
Rate Of Penetration (ft/s),0.808333333
Rate Of Penetration (ft/s),4.024333333
Rate Of Penetration (ft/s),4.023166667
Rate Of Penetration (ft/s),3.7905
Rate Of Penetration (ft/s),0.815
Rate Of Penetration (ft/s),4.014833333
Rate Of Penetration (ft/s),3.6965
Rate Of Penetration (ft/s),4.026333333
Rate Of Penetration (ft/s),0.810333333
Rate Of Penetration (ft/s),4.023666667
Rate Of Penetration (ft/s),3.518833333
Rate Of Penetration (ft/s),0.808166667
Rate Of Penetration (ft/s),3.698
Rate Of Penetration (ft/s),3.712166667
Rate Of Penetration (ft/s),4.015833333
Rate Of Penetration (ft/s),0.807666667
Rate Of Penetration (ft/s),4.030833333
Rate Of Penetration (ft/s),4.243
Rate Of Penetration (ft/s),2.2485
Rate Of Penetration (ft/s),2.8935
Rate Of Penetration (ft/s),3.740666667
Rate Of Penetration (ft/s),4.248666667
Rate Of Penetration (ft/s),1.682333333
Rate Of Penetration (ft/s),3.660833333
Rate Of Penetration (ft/s),0.4375
Rate Of Penetration (ft/s),4.244333333
Rate Of Penetration (ft/s),3.295166667
Rate Of Penetration (ft/s),1.716166667
Rate Of Penetration (ft/s),4.175
Rate Of Penetration (ft/s),3.3935
Rate Of Penetration (ft/s),3.658
Rate Of Penetration (ft/s),3.277833333
Rate Of Penetration (ft/s),4.237333333
Rate Of Penetration (ft/s),3.289166667
Rate Of Penetration (ft/s),3.587
Rate Of Penetration (ft/s),1.675333333
Rate Of Penetration (ft/s),4.169
Rate Of Penetration (ft/s),3.770666667
Rate Of Penetration (ft/s),3.665333333
Rate Of Penetration (ft/s),1.682333333
Rate Of Penetration (ft/s),3.676666667
Rate Of Penetration (ft/s),1.68
Rate Of Penetration (ft/s),4.085
Rate Of Penetration (ft/s),1.691
Rate Of Penetration (ft/s),3.745
Rate Of Penetration (ft/s),1.683833333
Rate Of Penetration (ft/s),4.247
Rate Of Penetration (ft/s),1.685166667
Rate Of Penetration (ft/s),1.691
Rate Of Penetration (ft/s),4.188833333
Rate Of Penetration (ft/s),4.242833333
Rate Of Penetration (ft/s),3.587
Rate Of Penetration (ft/s),3.2995
Rate Of Penetration (ft/s),3.413666667
Rate Of Penetration (ft/s),3.589666667
Rate Of Penetration (ft/s),3.5925
Rate Of Penetration (ft/s),3.247833333
Rate Of Penetration (ft/s),3.788833333
Rate Of Penetration (ft/s),3.232333333
Rate Of Penetration (ft/s),4.157833333
Rate Of Penetration (ft/s),3.606833333
Rate Of Penetration (ft/s),4.1685
Rate Of Penetration (ft/s),3.601166667
Rate Of Penetration (ft/s),4.187166667
Rate Of Penetration (ft/s),3.582666667
Rate Of Penetration (ft/s),4.212833333
Rate Of Penetration (ft/s),4.162166667
Rate Of Penetration (ft/s),3.605333333
Rate Of Penetration (ft/s),3.5655
Rate Of Penetration (ft/s),3.247833333
Rate Of Penetration (ft/s),3.566833333
Rate Of Penetration (ft/s),3.972833333
